freq_Hz,cR_pick_ms,cR_hydro_prior_ms,lambda_m,z_lambda3_m,Vs_equiv_cR_over_0p92_ms
19.000041800082325,95.0,90.82738195144617,4.999989000002535,1.6666630000008453,103.26086956521739
19.16670883341638,99.0,90.7732618961642,5.165206027828707,1.721735342609569,107.6086956521739
19.333375866750433,101.0,90.71907269914388,5.224126437933684,1.741375479311228,109.78260869565217
19.50004290008449,94.0,90.66481466116804,4.8205022153870605,1.6068340717956868,102.17391304347825
19.666709933418545,93.0,90.61049265489048,4.728803155934602,1.5762677186448673,101.08695652173913
19.8333769667526,91.0,90.55610082259668,4.588225200002327,1.5294084000007757,98.91304347826086
20.000044000086657,89.0,90.50163889420138,4.449990210002257,1.4833300700007523,96.73913043478261
20.16671103342071,88.0,90.44710659787144,4.363626763638577,1.4545422545461923,95.65217391304347
20.33337806675477,87.0,90.39250366000974,4.2786791114775795,1.4262263704925267,94.56521739130434
20.500045100088823,86.0,90.33747964380714,4.195112721953347,1.3983709073177826,93.47826086956522
20.666712133422877,84.0,90.2827332930903,4.064507187098836,1.3548357290329454,91.30434782608695
20.833379166756934,83.0,90.22791546530581,3.9839912352020206,1.3279970784006736,90.21739130434783
21.00004620009099,83.0,90.17302587966515,3.952372257144862,1.3174574190482873,90.21739130434783
21.166713233425046,83.0,90.11806425353468,3.92125121575002,1.30708373858334,90.21739130434783
21.3333802667591,83.0,90.0630303024186,3.890616440626973,1.2968721468756577,90.21739130434783
21.500047300093154,84.0,90.00792373994159,3.906968148839191,1.3023227162797304,91.30434782608695
21.666714333427212,83.0,89.95274624421587,3.830760803078866,1.2769202676929552,90.21739130434783
21.833381366761266,82.0,89.8974962455152,3.75571692824618,1.2519056427487267,89.13043478260869
22.000048400095324,82.0,89.84217281530103,3.7272645272746177,1.2424215090915391,89.13043478260869
22.166715433429378,83.0,89.78677566039394,3.744352664663553,1.248117554887851,90.21739130434783
22.33338246676343,82.0,89.73130448566243,3.6716337134346984,1.2238779044782326,89.13043478260869
22.50004950009749,81.0,89.67575899400455,3.599992080001826,1.1999973600006086,88.04347826086956
22.666716533431543,80.0,89.6201388863295,3.52940400000179,1.1764680000005967,86.95652173913044
22.8333835667656,79.0,89.56444386153916,3.4598464029214626,1.1532821343071542,85.8695652173913
23.000050600099655,79.0,89.50867361650897,3.434775052175655,1.144925017391885,85.8695652173913
23.16671763343371,78.0,89.45282784606908,3.366899067627607,1.1222996892092023,84.78260869565217
23.333384666767767,78.0,89.3969062429849,3.342849788573124,1.114283262857708,84.78260869565217
23.50005170010182,78.0,89.3409084979375,3.319141634044237,1.1063805446814121,84.78260869565217
23.666718733435875,81.0,89.28483429950401,3.422527681691877,1.140842560563959,88.04347826086956
23.833385766769933,81.0,89.22868333413727,3.398593921680045,1.1328646405600151,88.04347826086956
24.000052800103987,81.0,89.17245528614592,3.374992575001712,1.1249975250005706,88.04347826086956
24.166719833438044,80.0,89.11614983767358,3.310337544829265,1.1034458482764216,86.95652173913044
24.3333868667721,80.0,89.05976666867815,3.2876640000016675,1.095888000000556,86.95652173913044
24.500053900106153,76.0,89.00330545691087,3.1020339918383084,1.0340113306127694,82.6086956521739
24.66672093344021,76.0,88.94676587789483,3.0810743027042653,1.0270247675680886,82.6086956521739
24.833387966774264,76.0,88.89014796814573,3.060395951679405,1.0201319838931349,82.6086956521739
25.000055000108322,76.0,88.83345231797101,3.039993312001542,1.0133311040005137,82.6086956521739
25.166722033442376,76.0,88.77667734374336,3.0198609059617967,1.0066203019872655,82.6086956521739
25.33338906677643,75.0,88.71982271236942,2.9605198026330806,0.9868399342110269,81.52173913043478
25.500056100110488,75.0,88.66288808842657,2.9411700000014918,0.9803900000004971,81.52173913043478
25.666723133444542,75.0,88.60587313414005,2.9220714935079757,0.9740238311693253,81.52173913043478
25.8333901667786,75.0,88.54877750936002,2.903219419356311,0.9677398064521037,81.52173913043478
26.000057200112654,75.0,88.49160087153814,2.8846090384630014,0.9615363461543338,81.52173913043478
26.166724233446708,75.0,88.43434287570398,2.86623573248553,0.95541191082851,81.52173913043478
26.333391266780765,75.0,88.37700317444109,2.8480950000014444,0.9493650000004815,81.52173913043478
26.50005830011482,74.0,88.3195814178627,2.7924466867938693,0.930815562264623,80.43478260869564
26.666725333448873,74.0,88.26207725358726,2.7749938950014075,0.9249979650004693,80.43478260869564
26.83339236678293,74.0,88.20449032671361,2.757757908075933,0.9192526360253109,80.43478260869564
27.000059400116985,74.0,88.14682027979563,2.740734711112501,0.9135782370375004,80.43478260869564
27.166726433451043,74.0,88.08906675281696,2.7239203877314426,0.9079734625771476,80.43478260869564
27.333393466785097,73.0,88.03122938316504,2.6707258317086717,0.8902419439028906,79.34782608695652
27.50006050011915,73.0,87.97330780560497,2.654539614546801,0.884846538182267,79.34782608695652
27.66672753345321,73.0,87.9153016522531,2.638548412049531,0.8795161373498437,79.34782608695652
27.833394566787263,73.0,87.85721055255009,2.622748720959414,0.874249573653138,79.34782608695652
28.00006160012132,73.0,87.79903413323376,2.6071371214298935,0.8690457071432978,79.34782608695652
28.166728633455374,73.0,87.74077201831157,2.5917102745575273,0.8639034248525093,79.34782608695652
28.33339566678943,73.0,87.68242382903274,2.576464920001307,0.8588216400004356,79.34782608695652
28.500062700123486,73.0,87.62363825770605,2.5613978736855096,0.8537992912285033,79.34782608695652
28.66672973345754,73.0,87.56511318680411,2.546506025582687,0.8488353418608957,79.34782608695652
28.833396766791598,73.0,87.50650084453825,2.5317863375735383,0.8439287791911794,79.34782608695652
29.000063800125652,72.0,87.44780084020644,2.4827531586219487,0.8275843862073162,78.26086956521739
29.166730833459706,72.0,87.40082301178587,2.4685659977155376,0.822855332571846,78.26086956521739
29.333397866793764,72.0,87.40097927960001,2.4545400545466993,0.8181800181822331,78.26086956521739
29.500064900127818,72.0,87.40090206689577,2.4406725966114076,0.8135575322038026,78.26086956521739
29.666731933461875,72.0,87.40085761930222,2.4269609528102194,0.8089869842700732,78.26086956521739
29.83339896679593,72.0,87.40082656164473,2.4134025117330675,0.8044675039110225,78.26086956521739
